member_id,name,age,employment_status,income_monthly,income_change_pct,checking_balance,savings_balance,credit_card_balance,credit_card_balance_change_pct,credit_score,home_ownership,home_value,mortgage_balance,auto_loan_balance,tuition_payment,recent_large_purchase,transaction_count_60d,avg_transaction_60d,recent_job_change,months_at_employer,renovation_permit_nearby,property_listing_nearby,new_child_indicator,debt_to_income_ratio,missed_payments_12m,loan_inquiries_90d,member_since_years,branch_visits_90d,mobile_logins_30d
MBR0001,Evelyn Garcia,62,full_time,2909,15.8,4212,14628,4572,53.6,753,owner,271161,153401,1041,0,0,47,116.08,1,7,0,1,0,4.43,0,4,9,0,48
MBR0002,Kevin Johnson,66,part_time,8074,-9.7,3727,22059,3349,-10.7,604,renter,0,0,27770,500,1,25,300.0,1,32,1,0,1,0.07,0,4,12,3,45
MBR0003,Amelia Anderson,64,full_time,7241,29.2,14213,15256,3309,18.0,696,renter,0,0,5329,500,1,46,277.96,0,156,0,0,0,0.02,0,3,9,8,14
MBR0004,Daniel White,25,full_time,3025,19.3,6772,17546,2168,1.1,725,renter,0,0,6967,18000,1,70,357.33,0,37,0,0,0,0.05,1,4,18,4,47
MBR0005,Steven Moore,59,part_time,8430,-12.9,2466,33392,16171,-10.9,592,owner,340265,198153,25954,18000,1,96,53.51,0,153,1,0,1,2.05,2,0,22,1,43
MBR0006,James Clark,39,unemployed,8073,-18.9,7323,10365,14867,-19.7,764,renter,0,0,16403,0,0,100,140.42,1,156,0,0,0,0.07,2,1,18,8,58
MBR0007,Amelia Thomas,42,part_time,2819,-18.8,6147,20153,7846,-14.2,804,owner,262582,88895,15924,0,0,36,274.11,1,43,0,1,0,2.78,0,1,23,4,25
MBR0008,Harper Lee,50,self_employed,9897,-18.3,3881,4196,11078,-17.9,721,owner,797024,318090,2326,18000,0,49,54.94,0,85,0,0,0,2.7,1,3,7,8,8
MBR0009,Michael Moore,58,part_time,6481,18.2,13430,26677,6239,-10.6,748,renter,0,0,11609,1200,1,79,349.62,0,173,0,0,0,0.05,1,2,4,3,12
MBR0010,James Jackson,50,full_time,9412,-14.9,7779,16371,2470,24.3,800,owner,282664,91233,17713,0,0,116,344.02,0,105,1,1,0,0.84,2,3,2,2,24
MBR0011,Abigail Davis,38,part_time,7173,-1.7,12168,36422,15947,-4.5,655,owner,241324,135293,17766,0,1,27,48.55,0,129,0,0,1,1.66,0,1,3,1,43
MBR0012,Daniel Brown,47,full_time,11833,-11.5,9940,2604,2686,21.9,729,owner,728177,322121,8544,0,1,50,128.28,0,172,0,1,0,2.29,2,0,1,7,39
MBR0013,Robert Taylor,26,self_employed,5992,2.8,2370,22872,2254,67.9,674,renter,0,0,5169,3500,1,98,394.03,1,3,0,0,0,0.02,0,0,4,8,9
MBR0014,Kevin Jones,60,full_time,8117,-13.8,10591,17300,16561,28.9,811,owner,276781,162035,27176,0,0,20,153.42,0,164,0,0,0,1.76,0,3,18,0,7
MBR0015,Harper Anderson,56,full_time,8549,7.0,2626,28166,4176,-15.8,673,owner,555190,219041,8176,18000,0,65,318.64,0,159,0,0,0,2.16,2,1,14,0,11
MBR0016,Matthew Thompson,48,unemployed,6565,-10.3,13100,45958,3542,18.3,589,renter,0,0,7288,0,1,64,142.92,0,58,0,0,0,0.03,0,2,3,4,22
MBR0017,Evelyn Moore,47,unemployed,11285,-6.8,652,7559,8559,-2.1,647,owner,293668,166937,11327,500,1,97,394.17,0,99,0,0,0,1.26,1,3,1,8,59
MBR0018,Daniel Taylor,65,unemployed,5728,-5.0,1346,43531,10819,42.3,749,owner,934717,658995,16617,0,1,61,178.89,0,142,0,0,0,9.67,1,3,22,2,39
MBR0019,Emma Martin,47,self_employed,2506,-8.3,3643,28173,10559,26.5,693,owner,716004,367262,26084,0,0,56,220.72,1,86,0,0,0,12.47,0,1,5,0,2
MBR0020,Abigail Brown,61,full_time,9961,-2.2,10518,37727,6371,51.8,678,renter,0,0,13095,0,0,103,284.42,0,109,0,0,1,0.03,0,0,18,3,58
MBR0021,Matthew Davis,51,full_time,10112,11.7,9357,39023,10397,75.0,808,renter,0,0,20075,8000,1,90,194.99,0,122,1,0,0,0.05,2,2,25,8,31
MBR0022,Steven Lee,39,part_time,3769,14.2,4041,17807,11005,12.0,718,owner,325095,119593,12551,0,0,28,183.5,0,139,1,1,0,2.76,0,3,13,0,54
MBR0023,Thomas Jones,46,part_time,2596,26.9,5092,49379,12779,65.3,793,renter,0,0,17636,8000,0,82,111.19,0,125,0,1,0,0.21,1,3,24,2,53
MBR0024,Mia Johnson,61,self_employed,2941,24.9,9897,36987,888,-11.6,689,owner,664125,253548,8524,1200,1,47,198.24,0,98,0,1,0,7.24,2,0,16,0,47
MBR0025,Donald Garcia,44,full_time,3624,18.0,10878,2638,1016,75.0,631,owner,831517,306473,4136,3500,0,92,380.67,0,180,0,0,0,7.07,0,4,24,1,49
MBR0026,Charles Anderson,41,full_time,11981,-23.6,5311,37735,12298,19.7,763,owner,259688,147098,27216,18000,0,33,287.96,0,176,0,0,0,1.08,0,3,22,5,4
MBR0027,Charlotte Jackson,22,part_time,10531,-19.2,6134,41653,15064,50.7,691,owner,949440,507747,21314,0,1,79,191.16,1,69,0,0,0,4.08,0,3,8,7,36
MBR0028,Anthony Martin,43,full_time,10598,21.8,3179,31952,6950,15.5,646,renter,0,0,9163,12000,1,91,33.76,0,22,0,1,0,0.03,0,1,23,7,41
MBR0029,Michael Anderson,50,full_time,4024,-8.8,6825,45336,7972,10.6,728,renter,0,0,15507,8000,1,74,398.75,1,85,0,1,0,0.1,0,2,8,1,46
MBR0030,Maria Moore,29,unemployed,11279,27.3,11507,12133,6276,1.6,703,renter,0,0,23743,12000,1,32,338.07,0,59,0,0,0,0.05,0,4,5,4,2
MBR0031,David Lee,40,unemployed,4568,10.1,12533,32170,3361,67.3,726,renter,0,0,15381,3500,1,63,98.21,0,65,1,0,0,0.07,0,3,3,0,9
MBR0032,Mia Williams,41,full_time,6566,-18.5,12724,27274,7395,57.6,677,renter,0,0,14507,0,1,59,240.39,0,157,0,0,0,0.06,0,0,6,3,11
MBR0033,Robert Jones,32,full_time,9193,-0.2,9929,30796,9543,-16.7,653,renter,0,0,23035,3500,0,107,116.37,0,161,0,1,0,0.06,0,1,21,2,58
MBR0034,Amelia Lee,26,full_time,5218,18.6,9949,49083,9457,23.9,699,renter,0,0,22928,1200,1,84,229.79,0,21,0,1,0,0.11,0,2,1,1,14
MBR0035,Anthony Martin,59,full_time,6915,6.7,12702,49562,5740,27.1,746,renter,0,0,9114,0,1,101,331.27,0,121,0,1,0,0.04,0,0,6,5,26
